"ID_SITE","site_name","latitude","longitude","elevation","site_type","water_depth","basin_size_class","catch_size_class","flow_type","basin_size_km2","catch_size_km2"
5,"Hoodoo Lake",46.320193,-114.651545,1770,"lacustrine",4,"very small (less than 0.01 km2)","small (less than 10 km2)","in and out flow",0.046,-999999
27,"Maligne Lake",52.708479,-117.608897,1675,"lacustrine",35,"medium (1.1-50 km2)","medium (10.1-500 km2)","in and out flow",19.71,-999999
66,"Morro de Itapeva",-22.78,-45.57,1850,"terrestrial, bog",0,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
67,"Serra Campos Gerais",-24.66,-50.21,1200,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.07,-999999
67,"Serra Campos Gerais",-24.66,-50.21,1200,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.07,-999999
94,"Sao Francisco de Assis",-29.58,-55.21,100,"terrestrial, mire",0,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
111,"Laguna Aculeo",-33.8333,-70.91,350,"lacustrine, thermokarst origin",6,"medium (1.1-50 km2)","medium (10.1-500 km2)","outflow only",12,-999999
122,"Rio Rubens Bog",-52.1375,-71.881389,220,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",0.25,-999999
135,"Maxus",-0.7,-76.45,3,"lacustrine, fluvial origin",0,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
146,"Pixie Lake",48.595187,-124.197301,70,"lacustrine, glacial origin",-999999,"small (0.01-1 km2)","small (less than 10 km2)","-777777",0.053,-999999
169,"Wild Tussock Lake",67.128,-151.382,290,"lacustrine, glacial origin",-999999,"small (0.01-1 km2)","-999999","-999999",0.15,-999999
204,"Cooley Lake BC",49.490867,-117.645321,1515,"lacustrine",11,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.045,1.07
205,"Rockslide Lake",49.550849,-117.52088,1539,"lacustrine",14.1,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.032,0.86
214,"ELA-320 Lake",49.5,-93.5,370,"lacustrine",17.3,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.045,-999999
220,"Northwest Lake",52.5,-92.5,331,"lacustrine",8.1,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.1,-999999
223,"Siles Lake",38.4,-2.5,1320,"lacustrine",3.5,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.0027,4.96
227,"Etu-Mustajarvi",60.98,25,157,"lacustrine",9,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.045,-999999
264,"Enos Lake",49.28,-124.15,50,"lacustrine",-999999,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.18,2.35
308,"Lac a la Pessiere",49.5083,-79.2403,280,"lacustrine",16,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.036,-999999
319,"Saracuri",-1.67,-53.57,18,"lacustrine, fluvial origin",0,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
320,"Santa Maria",-1.57,-53.6,17,"lacustrine",0,"-777777","-777777","-777777",NA,NA
376,"Andy Lake",61.95,-109.81,360,"lacustrine",9.5,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.1,-999999
384,"Aino Pond",42.680759,-71.925514,354,"lacustrine",2.5,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.018,0.813
406,"Lago Verde",18.61,-95.34,149,"lacustrine, volcanic lake",4,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",-999999,-999999
427,"Waruid",-10.4,142.09,5,"coastal",0.5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",-999999,-999999
427,"Waruid",-10.4,142.09,5,"coastal",0.5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",-999999,-999999
440,"El Carrizal",41.3185,-4.145,860,"lacustrine",1.5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.11,-999999
447,"Canada de la Cruz",38.0675,-2.6875,1595,"lacustrine",1,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.6875,-999999
468,"Lac Miroir",44.63,6.79,2214,"lacustrine",-777777,"-777777","-777777","-777777",NA,NA
520,"Plum Swamp",-22.26,166.61,40,"terrestrial, bog",0,"-777777","-777777","-777777",NA,NA
533,"Lough Maumeen",53.405608,-10.022521,250,"lacustrine, glacial origin",5,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.56,2.28
685,"Laguna Cuzcachapa",13.98,-89.68,709,"lacustrine",7,"small (0.01-1 km2)","small (less than 10 km2)","-777777",NA,NA
687,"Laguna Santa Elena",8.56,-82.56,1100,"lacustrine",4,"small (0.01-1 km2)","small (less than 10 km2)","-777777",NA,NA
688,"Marcacocha",-13.21,-72.2,3355,"lacustrine",0,"-777777","-777777","-777777",NA,NA
690,"Laguna Pompal",18.37,-94.95,700,"lacustrine",0,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",-999999,-999999
695,"Carajas",-6,-50.16,250,"lacustrine",NA,"-777777","-777777","-777777",NA,NA
719,"Cantarrana",10.43,-84,36,"terrestrial, bog",0.01,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.005,-999999
738,"Pie de Gigante",11.38,-86.03,-777777,"coastal",1.3,"-777777","-777777","-777777",NA,NA
739,"Laguna Herradura",22.01,-98.15,-777777,"lacustrine, fluvial origin",-777777,"-777777","-777777","-777777",NA,NA
750,"Yaguaru",-15.6,-63.21,195,"lacustrine",1.1,"medium (1.1-50 km2)","medium (10.1-500 km2)","closed - no inflow or outflow",NA,NA
751,"Laguna de Salvador",18.795786,-70.886979,990,"lacustrine",2.8,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",-999999,-999999
752,"Leguna Castilla",18.7978,-70.8761,976,"lacustrine",4.5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",-999999,-999999
779,"Pena da Cadela",42.83,-7.17,970,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.005,-999999
805,"Tourbiere du Peschio",44.45,3.6,1370,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
806,"Tourbiere des Narses Morte",44.43,3.6,1400,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
807,"Tourbiere de La Lande",43.56,2.96,1040,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
867,"El Tiemblo",40.3575,-4.5263,1250,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",2e-04,-999999
870,"Lanzahita",40.2222,-4.9358,588,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-777777",0.00015,-999999
875,"Laguna la Zeta",-42.8901629934376,-71.3493700797113,774,"lacustrine",-999999,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",-999999,-999999
876,"Lago Theobald",-43.437931910209,-71.561818350962,678,"-777777",NA,"-777777","-777777","-777777",NA,NA
879,"Charco da Candieira",40.3436,-7.5781,1409,"lacustrine",0.5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.008,-999999
881,"Castello Lagoon",42.281556,3.099528,2.4,"coastal",1,"medium (1.1-50 km2)","medium (10.1-500 km2)","in and out flow",2.2,-999999
883,"Laguna de Rio Seco",37.052057,-3.34581,3020,"lacustrine",3,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.0042,0.99
888,"Pena Negra",40.3347,-5.7922,1000,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
890,"Fuente de la Leche",40.3468,-5.0569,1382,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
891,"Arroyo de las Carcavas",40.8419,-4.0314,1300,"terrestrial, small hollow",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",7e-04,-999999
904,"Tagamaucia",-16.49,-179.56,820,"lacustrine",2,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
1119,"Airag Nuur",48.9087,93.3076,1030,"lacustrine",9.1,"large (50.1-500 km2)","medium (10.1-500 km2)","in and out flow",180.22,-999999
1120,"Airport 1",53.6535,-77.729,175,"terrestrial, bog",-888888,"medium (1.1-50 km2)","-999999","-999999",-999999,-999999
1121,"Airport 2",53.6536,-77.7263,175,"terrestrial, bog",-888888,"medium (1.1-50 km2)","-999999","-999999",-999999,-999999
847,"Avril Lake",49.36874,-89.41847,472,"lacustrine",5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.027,-999999
1126,"Batbold Nuur",51.3476,98.87493,2150,"lacustrine",15.5,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.14,-999999
1127,"Bayan Nuur",48.4631,95.1604,1540,"lacustrine",14,"large (50.1-500 km2)","medium (10.1-500 km2)","in and out flow",64.01,-999999
848,"Beaver Lake, Ontario",49.53435,-90.40019,468,"lacustrine",4,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.032,-999999
849,"Ben Lake",49.35695,-89.76956,480,"lacustrine",5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.016,-999999
844,"Folly ",45.45826,-75.77775,133,"terrestrial, bog",NA,"small (0.01-1 km2)","small (less than 10 km2)","-888888",0.14,0.28
