"ID_SITE","ID_ENTITY","entity_name","latitude","longitude","elevation","depositional_context","measurement_method","TYPE","source","core_location","last_updated","ID_UNIT"
5,7,"Hoodoo core",46.320193,-114.651545,1770,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","central core","2021-05-07",10
27,47,"Maligne Lake core_14_24",52.708479,-117.608897,1675,"lake sediment","-777777","concentration","Global Charcoal Database Version 4","-999999","2021-05-07",86
66,96,"Morro de Itapeva core",-22.78,-45.57,1850,"bog sediment","Pollen slide","pollen concentration","Global Charcoal Database Version 4","-777777","2020-03-06",97
67,97,"Serra Campos Gerais core_less50",-24.66,-50.21,1200,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-07",43
67,98,"Serra Campos Gerais core over 50",-24.66,-50.21,1200,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","central core","2021-05-07",99
94,130,"Sao Francisco de Assis core",-29.58,-55.21,100,"bog sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",98
111,147,"Laguna Aculeo core",-33.8333,-70.91,350,"lake sediment","Pollen slide","influx","Global Charcoal Database Version 4","central core","2021-05-07",2
122,159,"Rio Rubens core",-52.13,-71.88,220,"bog sediment","Sieved","concentration","IMPD","-999999","2021-05-07",11
135,173,"Maxus-Core 5",-0.7,-76.45,3,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",152
146,193,"Pixie core",48.595187,-124.197301,70,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",88
169,218,"Wild Tussock core",67.128,-151.382,290,"lake sediment","Sieved","influx","IMPD","central core","2021-05-07",10
204,253,"Cooley Lake core",49.490867,-117.645321,1515,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",11
205,254,"Rockslide core",49.550849,-117.52088,1539,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","central core","2021-05-07",10
214,265,"ELA-320 Lake core_area",49.5,-93.5,370,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",10
