"ID_SITE","site_name","latitude","longitude","elevation","site_type","water_depth","basin_size_class","catch_size_class","flow_type","basin_size_km2","catch_size_km2"
183,"Lake Baraba Thirlmere Lakes",-34.23,150.53,305,"lacustrine",6,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.128,0.8236
188,"Core Fr10 95-GC-17",-22.04,113.5,-1093,"marine",1093,"very large (more than 500 km2)","large (more than 500 km2)","-888888",NA,NA
208,"Black Swamp",-32.05,151.4667,1450,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
209,"Boggy Swamp",-29.96,151.49,1160,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",-999999,-999999
210,"Butchers Swamp",-29.97,151.45,1230,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",-999999,-999999
213,"Dublin Bog",-41.72,146.23,710,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.5,-999999
224,"Tadpole Swamp",-38.13,145.27,60,"terrestrial, bog",0,"-777777","-777777","-777777",NA,NA
225,"Whitehaven Swamp",-20.3,148.9,45,"terrestrial, fen",1.1,"very small (less than 0.01 km2)","small (less than 10 km2)","-888888",-999999,-999999
226,"Buxton",-37.44,145.69,235,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",NA,NA
230,"Middle Patriarch Swamp",-39.99,148.18,19,"lacustrine, drained lake",-888888,"-777777","-777777","-777777",NA,NA
231,"North Torbreck",-37.48,146.94,564,"fluvial",0,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",NA,NA
232,"Oaks Creek",-37.58,146.16,610,"terrestrial, bog",0,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",NA,NA
233,"Poets Hill",-41.88,145.55,600,"lacustrine, glacial origin",0,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
237,"Snobs Creek",-37.55,145.92,775,"terrestrial, bog",0,"very small (less than 0.01 km2)","small (less than 10 km2)","in and out flow",NA,NA
241,"Lake Mountain",-37.46,145.87,1450,"terrestrial, bog",0,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",NA,NA
247,"Tiger Snake Swamp",-38.13,145.27,60,"terrestrial, fen",0,"-777777","-777777","-777777",NA,NA
330,"Ajax Bog",-46.4192,169.2922,680,"terrestrial, bog",10,"small (0.01-1 km2)","medium (10.1-500 km2)","closed - no inflow or outflow",-888888,-999999
331,"Clarks Junction",-45.71,170.11,560,"terrestrial",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
332,"Eweburn Bog",-45.32,167.8,320,"terrestrial, bog",0,"small (0.01-1 km2)","small (less than 10 km2)","-777777",NA,NA
333,"Glendhu Bog",-45.8333,169.75,600,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.036,2.2
342,"Gooches Swamp",-33.45,150.26,960,"terrestrial, fen",-888888,"medium (1.1-50 km2)","small (less than 10 km2)","in and out flow",0.4,-999999
360,"Sapphire Swamp",-30.03,151.56,1260,"terrestrial, bog",0,"-777777","-777777","-777777",NA,NA
361,"Burraga Swamp",-32.02,151.43,1462,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
362,"Killalea Lagoon",-34.6,150.86,22,"coastal, estuarine",1,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.23,1.5
363,"Bondi Lake",-36.8,149.93,22,"coastal",4.5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.7,3.5
365,"Soleve",-17.25,-179.49,2,"terrestrial, bog",0.5,"small (0.01-1 km2)","small (less than 10 km2)","-999999",-999999,-999999
366,"Yacata Pond",-17.15,-179.51,2,"terrestrial, bog",0.5,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",-999999,-999999
367,"Voli Voli",-18.16,177.48,2,"terrestrial, bog",0.5,"very small (less than 0.01 km2)","small (less than 10 km2)","in and out flow",0.2,-888888
372,"Waikaremoana",-38.7745,177.1124,582,"lacustrine, tectonic origin",248,"large (50.1-500 km2)","medium (10.1-500 km2)","in and out flow",56,347
392,"Warrananga",-33.97,141.56,22,"lacustrine, salt lake, permanent",0.2,"medium (1.1-50 km2)","medium (10.1-500 km2)","closed - no inflow or outflow",NA,NA
393,"Byenup Lagoon",-34.46,116.73,175,"lacustrine",2.8,"medium (1.1-50 km2)","medium (10.1-500 km2)","in and out flow",12,-999999
394,"Wet Lagoon",-34.47,149.25,700,"terrestrial, bog",0,"-777777","medium (10.1-500 km2)","closed - no inflow or outflow",NA,NA
395,"Bobundara Swamp",-36.5833,150.06,75,"coastal, estuarine",-999999,"medium (1.1-50 km2)","small (less than 10 km2)","in and out flow",1.2,14.25
396,"Kurnell Fen",-34.01,151.1,15,"coastal, estuarine",0,"-777777","-777777","-777777",NA,NA
397,"Ryans Swamp",-35.09,150.39,8,"terrestrial, bog",1,"-777777","-777777","-777777",NA,NA
