"ID_SITE","site_name","latitude","longitude","elevation","site_type","water_depth","basin_size_class","catch_size_class","flow_type","basin_size_km2","catch_size_km2"
17,"Beach Lake",65.216667,-127.05,81,"lacustrine",-999999,"-999999","-999999","-999999",-999999,-999999
27,"Maligne Lake",52.708479,-117.608897,1675,"lacustrine",35,"medium (1.1-50 km2)","medium (10.1-500 km2)","in and out flow",19.71,-999999
29,"Ninisith Lake",59.58,-113,225,"lacustrine",3.2,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.01,-999999
29,"Ninisith Lake",59.58,-113,225,"lacustrine",3.2,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.01,-999999
37,"Wilcox Pass",52.241667,-117.216667,2355,"terrestrial",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
38,"Dog Lake",50.76,-116.1,1183,"lacustrine",4.7,"small (0.01-1 km2)","medium (10.1-500 km2)","in and out flow",0.151,20.8
110,"Paradox Lake",60.623074,-150.757767,68,"lacustrine",15.8,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.12,-999999
162,"Jackfish",63.02,-136.47,655,"lacustrine, glacial origin",8,"-777777","-777777","-777777",NA,NA
164,"Oops",65.44,-147.63,488,"lacustrine",-777777,"-777777","-777777","-777777",NA,NA
166,"Ruppert Lake",67.071111,-154.245833,230,"lacustrine, glacial origin",-999999,"small (0.01-1 km2)","-999999","-999999",0.03,-999999
168,"wild tussock",67.15,-151.86,250,"lacustrine, thermokarst origin",-999999,"small (0.01-1 km2)","-999999","-999999",0.02,-999999
169,"Wild Tussock Lake",67.128,-151.382,290,"lacustrine, glacial origin",-999999,"small (0.01-1 km2)","-999999","-999999",0.15,-999999
170,"Last Chance",67.07,-150.75,250,"lacustrine, thermokarst origin",8.5,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.34,-999999
171,"7-M Lake",62.5,-113.72,213,"lacustrine",6.5,"medium (1.1-50 km2)","small (less than 10 km2)","-999999",0.12,-999999
172,"Arrow Lake",60.75,-150.516667,90,"lacustrine",10.5,"medium (1.1-50 km2)","medium (10.1-500 km2)","closed - no inflow or outflow",0.105,-999999
173,"Rock Lake",60.416667,-150.25,285,"lacustrine",5.3,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.03,-999999
175,"Portage Lake",60.716667,-150.5333,75,"lacustrine",15.6,"medium (1.1-50 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.116,-999999
244,"Nicole Lake",62.898592,-114.806868,300,"lacustrine",5.6,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.08,-999999
245,"Scotty Lake",54.71,-101.68,305,"lacustrine",10,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.12,-999999
375,"Brenda Lake",62.35,-119.19,207,"lacustrine",5.86,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",-999999,-999999
376,"Andy Lake",61.95,-109.81,360,"lacustrine",9.5,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.1,-999999
377,"Jason",61.68,-107.78,120,"lacustrine",12.6,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.01,-999999
378,"Corral Lake",57.32,-100.85,75,"lacustrine",7.5,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.08,-999999
931,"Crater Lake Alaska",62.101714,-146.238431,806,"lacustrine",4.2,"small (0.01-1 km2)","-999999","closed - no inflow or outflow",0.01,-999999
1150,"JPH4",57.112222,-111.423333,336,"terrestrial, bog",-888888,"small (0.01-1 km2)","-999999","-999999",-999999,-999999
