"ID_SITE","site_name","latitude","longitude","elevation","site_type","water_depth","basin_size_class","catch_size_class","flow_type","basin_size_km2","catch_size_km2"
26,"Howes Prairie Marsh",41.65,-87.072222,185,"terrestrial, marsh",-888888,"very small (less than 0.01 km2)","-999999","closed - no inflow or outflow",6e-04,-999999
97,"Lac Francis",48.5264,-79.4722,305,"lacustrine, glacial origin",6,"very small (less than 0.01 km2)","small (less than 10 km2)","outflow only",0.008,-999999
98,"Pas-de-Fond",48.8083,-78.8083,290,"lacustrine, glacial origin",11,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.02,-999999
130,"Ferry Lake",46.01,-92.13,25,"lacustrine, glacial origin",12,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
138,"Curt Pond",36.9,-84.03,336,"terrestrial, small hollow",0.2,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",-999999,-999999
139,"Cliff Palace Pond",37.52,-83.92,424,"terrestrial, small hollow",0.14,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.001,0.005
140,"Horse Cove Bog",35.04,-83.15,887,"terrestrial, bog",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","in and out flow",0.12,-999999
141,"Mound G Pond Shiloh Indian Mounds",35.14,-88.2,143,"terrestrial, small hollow",0.48,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
143,"Tuskegee Pond",35.58,-84.21,240,"lacustrine",0.4,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
144,"Black Pond",35.62,-84.18,262,"lacustrine",0.1,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
151,"Albion",45.6708,-71.325,320,"lacustrine",1,"small (0.01-1 km2)","small (less than 10 km2)","-777777",0.025,-999999
153,"Desautels",49.4578,-73.2567,480,"lacustrine",7,"small (0.01-1 km2)","small (less than 10 km2)","-777777",0.3,-999999
158,"Spearman",46.5439,-78.5028,368,"lacustrine",1.5,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.031,-999999
