"ID_SITE","site_name","latitude","longitude","elevation","site_type","water_depth","basin_size_class","catch_size_class","flow_type","basin_size_km2","catch_size_km2"
1,"Cygnet Lake",44.66,-110.61,2530,"lacustrine, glacial origin",6.1,"very small (less than 0.01 km2)","medium (10.1-500 km2)","inflow only",0.11,-999999
2,"Slough Creek Pond",44.91,-110.34,1884,"lacustrine",-999999,"very small (less than 0.01 km2)","small (less than 10 km2)","-999999",-999999,-999999
3,"Burnt Knob Lake",45.7,-114.98,2250,"lacustrine, glacial origin",5.5,"very small (less than 0.01 km2)","small (less than 10 km2)","-999999",0.035,-999999
4,"Baker Lake, Montana",45.891785,-114.263047,2300,"lacustrine, glacial origin",16,"very small (less than 0.01 km2)","small (less than 10 km2)","in and out flow",-999999,-999999
5,"Hoodoo Lake",46.320193,-114.651545,1770,"lacustrine",4,"very small (less than 0.01 km2)","small (less than 10 km2)","in and out flow",0.046,-999999
6,"Pintlar",45.84,-113.44,1921,"lacustrine",0,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
8,"Bolan Lake",41.0225,-122.4583,1637,"lacustrine",11.25,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.05,-999999
11,"Crater Lake CA",41.3836,-122.5797,2288,"lacustrine",12.15,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.06,-999999
12,"Mumbo Lake",41.191147,-122.510445,1860,"lacustrine",3.2,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.04,-999999
13,"Trail",44.28,-110.17,2362,"lacustrine",0,"medium (1.1-50 km2)","small (less than 10 km2)","inflow only",NA,NA
14,"Lost Lake",45.822988,-123.579517,449,"lacustrine, fluvial origin",6,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.06,0.33
19,"Como Lake",37.55,-105.5,3523,"lacustrine",-999999,"-999999","-999999","in and out flow",-999999,-999999
20,"Crane Lake",36.716667,-112.21,2590,"lacustrine",-999999,"-999999","-999999","-999999",-999999,-999999
22,"Forest Pond 1",43.471667,-109.938889,2797,"lacustrine",0.5,"small (0.01-1 km2)","-999999","-999999",-999999,-999999
23,"Forest Pond 2",43.438889,-109.95,2766,"lacustrine",0.5,"small (0.01-1 km2)","-999999","-999999",-999999,-999999
25,"Head Lake",37.7,-105.5,2300,"lacustrine",-999999,"-999999","-999999","-999999",-999999,-999999
28,"Montezuma Well",34,-112,1125,"lacustrine",0,"-777777","-777777","-777777",NA,NA
30,"Park Pond 1",43.468056,-109.959444,2705,"lacustrine",0.5,"small (0.01-1 km2)","-999999","-999999",-999999,-999999
31,"Park Pond 2",43.45,-109.94,2714,"lacustrine",0.5,"small (0.01-1 km2)","-999999","-999999",-999999,-999999
33,"Posy Lake",37.95,-111.7,2653,"lacustrine",-999999,"-999999","-999999","-999999",-999999,-999999
34,"San Joaquin Marsh",33.65,-117.85,2,"lacustrine",-999999,"-999999","-999999","-999999",-999999,-999999
41,"Martins",47.71,-123.54,1415,"lacustrine",0,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",NA,NA
42,"Moose",47.88,-123.35,1508,"lacustrine",0,"small (0.01-1 km2)","small (less than 10 km2)","-777777",NA,NA
92,"Alamo Bog",35.91,-106.58,2630,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.5,-999999
93,"Chihuahuenos Bog",36.04,-106.5,2925,"terrestrial, bog",3,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.023,2
101,"Patterson Lake Warner Mountains",41.3867,-120.2236,2743,"lacustrine, glacial origin",-999999,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.12,-999999
102,"Lily Lake Warner Mountains",41.9758,-120.2097,2042,"lacustrine",-999999,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.037,-999999
103,"Dead Horse Lake",42.5606,-120.7781,2248,"lacustrine, glacial origin",0,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.15,-999999
105,"Coast Trail Pond",37.98,-122.8,230,"lacustrine",0,"-777777","-777777","-777777",NA,NA
106,"DeHerrera Lake",37.74,-107.7,3343,"lacustrine",0,"-777777","-777777","-777777",NA,NA
107,"Hunter's Lake",37.6,-106.84,3516,"lacustrine",0,"-777777","-777777","-777777",NA,NA
108,"Jicarita Bog",36.07,-105.58,3207,"-777777",0,"-777777","-777777","-777777",NA,NA
109,"Little Molas Lake",37.74,-107.7,3370,"lacustrine",0,"-777777","-777777","-777777",NA,NA
126,"Siesta Lake",37.85,-119.66,2430,"lacustrine",1.35,"small (0.01-1 km2)","medium (10.1-500 km2)","closed - no inflow or outflow",0.13,11.83
145,"East Sooke Fen",48.3519,-123.6817,155,"terrestrial, fen",-888888,"very small (less than 0.01 km2)","small (less than 10 km2)","-999999",0.001,-999999
146,"Pixie Lake",48.595187,-124.197301,70,"lacustrine, glacial origin",-999999,"small (0.01-1 km2)","small (less than 10 km2)","-777777",0.053,-999999
147,"Whyac Lake",48.6722,-124.8444,15,"lacustrine, glacial origin",-999999,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.025,-999999
148,"Porphyry",48.900916,-123.835013,1100,"lacustrine",-999999,"very small (less than 0.01 km2)","small (less than 10 km2)","-777777",0.0035,-999999
149,"Walker Lake",48.529101,-124.003118,950,"lacustrine",-999999,"very small (less than 0.01 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.0038,-999999
204,"Cooley Lake BC",49.490867,-117.645321,1515,"lacustrine",11,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.045,1.07
205,"Rockslide Lake",49.550849,-117.52088,1539,"lacustrine",14.1,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.032,0.86
262,"Turtle Lake",49.3273,-124.9611,80,"lacustrine",10,"small (0.01-1 km2)","-999999","-999999",0.15,-999999
264,"Enos Lake",49.28,-124.15,50,"lacustrine",-999999,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.18,2.35
285,"Beaver Lake, Nebraska",42.460044,-100.670164,900,"lacustrine",-777777,"-777777","-777777","-777777",NA,NA
292,"Reservoir",45.13,-113.46,2161,"lacustrine",-777777,"-777777","-777777","-777777",NA,NA
