"ID_SITE","site_name","latitude","longitude","elevation","site_type","water_depth","basin_size_class","catch_size_class","flow_type","basin_size_km2","catch_size_km2"
15,"Taylor Lake, Oregon",46.100556,123.906667,4,"lacustrine",4.5,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.04,-999999
54,"Chyornaya Valley",44.56,33.62,2,"fluvial",2,"very small (less than 0.01 km2)","small (less than 10 km2)","in and out flow",NA,NA
55,"Yaila-Crimea",44.48,34.05,1205,"terrestrial",0,"very small (less than 0.01 km2)","small (less than 10 km2)","inflow only",NA,NA
79,"Kunming Lake",39.98,116.26,48.6,"lacustrine",-777777,"medium (1.1-50 km2)","small (less than 10 km2)","-777777",NA,NA
80,"Nanwangcun",37,118,10,"terrestrial",-777777,"-777777","-777777","-777777",NA,NA
81,"Qindeli peat",47.92,133.22,74,"terrestrial, mire",80,"very large (more than 500 km2)","large (more than 500 km2)","in and out flow",NA,NA
84,"Muchang",43.03,122.2,308.4,"terrestrial, marsh",0,"medium (1.1-50 km2)","-777777","-777777",NA,NA
86,"Daxigou",43.14,86.91,3450,"terrestrial",0,"-777777","-777777","-777777",NA,NA
87,"Lijiayuan",36.11,104.85,1850,"terrestrial, loess",0,"-777777","-777777","-777777",NA,NA
88,"Lingtai section",35,107.5,1400,"terrestrial, loess",0,"-777777","-777777","-777777",NA,NA
91,"Longgan Lake",30.16,116.16,12.1,"lacustrine",3.78,"large (50.1-500 km2)","medium (10.1-500 km2)","in and out flow",316,-999999
198,"Karakol",42.83,77.39,2353,"lacustrine",3,"small (0.01-1 km2)","medium (10.1-500 km2)","-777777",NA,NA
248,"Zagas Nuur",48.5061,90.6099,2376,"lacustrine",15.9,"small (0.01-1 km2)","-777777","in and out flow",0.64,-999999
334,"Kichikol",39.98,73.55,2541,"lacustrine",10,"small (0.01-1 km2)","medium (10.1-500 km2)","-777777",NA,NA
335,"Bakaly",42.45,72.6,1879,"lacustrine",5,"small (0.01-1 km2)","medium (10.1-500 km2)","-777777",NA,NA
350,"Sakhare",41.58,45.31,800,"lacustrine, playa",0.5,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",0.1,-999999
351,"Kumisi",41.58,44.83,469,"lacustrine, tectonic origin",3,"medium (1.1-50 km2)","small (less than 10 km2)","inflow only",5,-999999
352,"Tsavkisi",41.68,44.71,1100,"terrestrial, bog",0.5,"small (0.01-1 km2)","small (less than 10 km2)","outflow only",0.03,-999999
353,"Imera",41.65,44.21,1610,"terrestrial, bog",2,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.06,1
354,"Aligol",41.63,44.01,1550,"terrestrial, bog",0.5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",-999999,-999999
355,"Ispani",41.86,41.8,2,"terrestrial, bog",-888888,"medium (1.1-50 km2)","small (less than 10 km2)","-888888",-999999,-999999
452,"Xujianan",35.5,106,1620,"-777777",0,"-888888","-888888","-888888",NA,NA
481,"Hatchodaira",35.23,135.83,810,"terrestrial, mire",-888888,"small (0.01-1 km2)","-777777","-777777",0.05,-777777
482,"Ofuke",38.64,135.17,510,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","-888888",-999999,-999999
644,"Beaver Lake, Oregon",44.917167,123.296333,69,"lacustrine, fluvial origin",1.5,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.01,-999999
708,"Caotanhu relic site",44.42,113.02,380,"terrestrial, bog",-888888,"small (0.01-1 km2)","small (less than 10 km2)","inflow only",-999999,-999999
1119,"Airag Nuur",48.9087,93.3076,1030,"lacustrine",9.1,"large (50.1-500 km2)","medium (10.1-500 km2)","in and out flow",180.22,-999999
1127,"Bayan Nuur",48.4631,95.1604,1540,"lacustrine",14,"large (50.1-500 km2)","medium (10.1-500 km2)","in and out flow",64.01,-999999
1189,"Tsagaan Nuur",48.9118,94.867,1382,"lacustrine",6.6,"medium (1.1-50 km2)","medium (10.1-500 km2)","in and out flow",12.42,-999999
1153,"Kholboo Nuur",49.7014,91.0914,2570,"lacustrine",2.9,"small (0.01-1 km2)","small (less than 10 km2)","-999999",0.09,5.6
1423,"Path (Nova Scotia)",45.869,63.077,15,"lacustrine",7,"small (0.01-1 km2)","small (less than 10 km2)","in and out flow",0.219,-999999
1491,"Crooked Pond",41.891667,70.65,28,"lacustrine",3.5,"small (0.01-1 km2)","small (less than 10 km2)","closed - no inflow or outflow",0.09,-999999
